,event type,period,x coor,y coor,owner team id,team,zone code,situation code,net x coor,net y coor,shot_distance,shot_angle,isgoal,is empty net,y_pred
0,shot-on-goal,1,73,27,13,away,O,1551,89,0,31.38470965295043,1.0358412530088004,0,0,-1.0
1,shot-on-goal,1,36,23,13,away,O,1551,89,0,57.77542730261716,0.4094372095261426,0,0,-1.0
2,shot-on-goal,1,-73,-2,54,home,O,1551,-89,0,16.1245154965971,-0.12435499454676145,0,0,-1.0
3,shot-on-goal,1,-53,-18,54,home,O,1551,-89,0,40.24922359499622,-0.4636476090008061,0,0,-1.0
4,shot-on-goal,1,-45,-39,54,home,O,1551,-89,0,58.7962583843564,-0.7252299122424386,0,0,-1.0
5,shot-on-goal,1,60,0,13,away,O,1551,89,0,29.0,0.0,0,0,-1.0
6,shot-on-goal,1,80,-17,13,away,O,1551,89,0,19.235384061671343,-1.0838970949836277,0,0,-1.0
7,shot-on-goal,1,81,1,13,away,O,1551,89,0,8.06225774829855,0.12435499454676145,0,0,-1.0
8,shot-on-goal,1,83,0,13,away,O,1551,89,0,6.0,0.0,0,0,-1.0
9,goal,1,93,-5,13,away,O,1451,89,0,6.4031242374328485,-0.896055384571344,1,0,-1.0
10,shot-on-goal,1,56,22,13,away,O,1551,89,0,39.66106403010388,0.5880026035475676,0,0,-1.0
11,shot-on-goal,1,-75,39,54,home,O,1551,-89,0,41.43669871020132,1.2261490111768707,0,0,-1.0
12,shot-on-goal,1,-85,5,54,home,O,1451,-89,0,6.4031242374328485,0.896055384571344,0,0,-1.0
13,shot-on-goal,1,-89,4,54,home,O,1451,-89,0,4.0,1.5707963267948966,0,0,-1.0
14,goal,1,-79,-1,54,home,O,1451,-89,0,10.04987562112089,-0.09966865249116202,1,0,-1.0
15,shot-on-goal,1,76,9,13,away,O,1551,89,0,15.811388300841896,0.6055446636049701,0,0,-1.0
16,shot-on-goal,2,-81,0,13,away,O,1551,-89,0,8.0,0.0,0,0,-1.0
17,shot-on-goal,2,83,5,54,home,O,1551,89,0,7.810249675906654,0.6947382761967033,0,0,-1.0
18,shot-on-goal,2,51,-3,54,home,O,1551,89,0,38.118237105091836,-0.0787839609891438,0,0,-1.0
19,shot-on-goal,2,-73,26,13,away,O,1551,-89,0,30.528675044947494,1.01914134426635,0,0,-1.0
20,shot-on-goal,2,35,13,54,home,O,1451,89,0,55.54277630799526,0.23624526071843757,0,0,-1.0
21,shot-on-goal,2,63,-31,54,home,O,1451,89,0,40.45985664828782,-0.8728935041998396,0,0,-1.0
22,shot-on-goal,2,83,-4,54,home,O,1451,89,0,7.211102550927978,-0.5880026035475676,0,0,-1.0
23,shot-on-goal,2,74,-14,54,home,O,1551,89,0,20.518284528683193,-0.7509290623979402,0,0,-1.0
24,shot-on-goal,2,77,-3,54,home,O,1551,89,0,12.36931687685298,-0.24497866312686417,0,0,-1.0
25,shot-on-goal,2,18,-38,13,away,N,1551,-89,0,113.54734695271397,-0.34124669110708716,0,0,-1.0
26,shot-on-goal,2,-74,-16,13,away,O,1551,-89,0,21.93171219946131,-0.8176450458327023,0,0,-1.0
27,shot-on-goal,2,22,3,54,home,N,1551,89,0,67.06713054842886,0.0447462314546156,0,0,-1.0
28,shot-on-goal,2,-74,-20,13,away,O,1551,-89,0,25.0,-0.9272952180016123,0,0,-1.0
29,shot-on-goal,2,-77,-9,13,away,O,1551,-89,0,15.0,-0.6435011087932844,0,0,-1.0
30,shot-on-goal,2,38,-2,54,home,O,1551,89,0,51.03920062069938,-0.03919560192705471,0,0,-1.0
31,goal,2,49,1,54,home,O,1551,89,0,40.01249804748511,0.02499479361892016,1,0,-1.0
32,shot-on-goal,2,35,23,54,home,O,1551,89,0,58.69412236331676,0.40265465355187274,0,0,-1.0
33,shot-on-goal,2,-51,-28,13,away,O,1551,-89,0,47.20169488482379,-0.6350267353903137,0,0,-1.0
34,shot-on-goal,2,72,-23,54,home,O,1551,89,0,28.600699292150182,-0.9342881110069458,0,0,-1.0
35,shot-on-goal,2,-42,22,13,away,O,1551,-89,0,51.894122981316485,0.4377913036415464,0,0,-1.0
36,shot-on-goal,2,-70,-21,13,away,O,1541,-89,0,28.319604517012593,-0.8353565591193911,0,0,-1.0
37,shot-on-goal,2,42,-23,54,home,O,1551,89,0,52.32590180780452,-0.4551008085681946,0,0,-1.0
38,shot-on-goal,2,79,5,54,home,O,1551,89,0,11.180339887498949,0.4636476090008061,0,0,-1.0
39,shot-on-goal,2,-31,-21,13,away,O,1551,-89,0,61.68468205316454,-0.3473859629183197,0,0,-1.0
40,shot-on-goal,2,-78,-27,13,away,O,1551,-89,0,29.154759474226502,-1.1839206090638685,0,0,-1.0
41,shot-on-goal,2,-34,29,13,away,O,1551,-89,0,62.177166226839255,0.48522699256733626,0,0,-1.0
42,shot-on-goal,2,-75,40,13,away,O,1551,-89,0,42.37924020083418,1.2341215074081693,0,0,-1.0
43,goal,2,-58,23,13,away,O,1551,-89,0,38.600518131237564,0.6383198080090458,1,0,-1.0
44,shot-on-goal,3,45,33,13,away,O,1551,89,0,55.0,0.6435011087932844,0,0,-1.0
45,shot-on-goal,3,83,39,13,away,O,1551,89,0,39.45883931389772,1.4181469983996307,0,0,-1.0
46,shot-on-goal,3,-58,20,54,home,O,1551,-89,0,36.89173349139343,0.5729661428887062,0,0,-1.0
47,shot-on-goal,3,83,5,13,away,O,1551,89,0,7.810249675906654,0.6947382761967033,0,0,-1.0
48,shot-on-goal,3,58,22,13,away,O,1551,89,0,38.01315561749642,0.6171913915403622,0,0,-1.0
49,shot-on-goal,3,-81,22,54,home,O,1551,-89,0,23.40939982143925,1.2220253232109894,0,0,-1.0
50,shot-on-goal,3,-82,-7,54,home,O,1551,-89,0,9.899494936611665,-0.7853981633974484,0,0,-1.0
51,goal,3,-44,-6,54,home,O,1551,-89,0,45.39823785126467,-0.13255153229667402,1,0,-1.0
52,shot-on-goal,3,51,12,13,away,O,1541,89,0,39.84971769034255,0.3058788714048521,0,0,-1.0
53,shot-on-goal,3,56,3,13,away,O,1541,89,0,33.13608305156178,0.09065988720074511,0,0,-1.0
54,shot-on-goal,3,68,6,13,away,O,1451,89,0,21.840329667841555,0.2782996590051114,0,0,-1.0
55,shot-on-goal,3,-54,31,13,away,D,1451,89,0,146.32156368765337,0.21347996353618615,0,0,-1.0
56,shot-on-goal,3,-57,-22,54,home,O,1551,-89,0,38.8329756778952,-0.6022873461349642,0,0,-1.0
57,shot-on-goal,3,24,-2,13,away,N,1551,89,0,65.03076195155643,-0.030759526070469233,0,0,-1.0
58,shot-on-goal,3,-35,0,54,home,O,1551,-89,0,54.0,0.0,0,0,-1.0
59,goal,3,-71,1,54,home,O,1551,-89,0,18.027756377319946,0.05549850524571683,1,0,-1.0
60,shot-on-goal,3,-63,5,54,home,O,1451,-89,0,26.476404589747453,0.18998828791871572,0,0,-1.0
61,shot-on-goal,3,-84,7,54,home,O,1451,-89,0,8.602325267042627,0.9505468408120752,0,0,-1.0
62,shot-on-goal,3,-87,-15,54,home,O,1451,-89,0,15.132745950421556,-1.4382447944982226,0,0,-1.0
63,shot-on-goal,3,-57,-27,54,home,O,1451,-89,0,41.86884283091664,-0.7008544078844502,0,0,-1.0
64,shot-on-goal,3,86,-7,13,away,O,1451,89,0,7.615773105863909,-1.165904540509813,0,0,-1.0
65,goal,3,-1,-17,54,home,N,0551,-89,0,89.62700485902673,-0.1908311027212619,1,1,-1.0
66,shot-on-goal,3,-30,-35,54,home,O,1551,-89,0,68.60029154456998,-0.5354195419366259,0,0,-1.0
67,shot-on-goal,3,71,-11,13,away,O,1551,89,0,21.095023109728988,-0.548549402450528,0,0,-1.0
68,shot-on-goal,3,-4,1,13,away,N,1551,89,0,93.00537618869137,0.010752273791101236,0,0,-1.0
